,File_Name,Content,Category,Complete_Filename
14,015.txt,"                    Air passengers win new EU rights
0  Air passengers who are unable to board their f...
1  New EU rules set compensation at between 250 e...
2  However, only scheduled flight operators were ...
3  The EU decided to increase passenger compensat...
4  However, airlines do not have to offer compens...
5  The European Regions Airline Association (ERAA...
6  EC spokeswoman Marja Quillinan-Meiland concede...
7  On Wednesday, Jacques Barrot, vice president o...",business,015.txt-business
15,016.txt,"                    China keeps tight rein on credit
0  China's efforts to stop the economy from overh...
1  The curbs were introduced earlier this year to...",business,016.txt-business
16,017.txt,"                     Parmalat boasts doubled profits
0  Parmalat, the Italian food group at the centre...
1  Its pre-tax earnings in the fourth quarter wer...
2  But a crucial factor for the company's future ...",business,017.txt-business
17,018.txt,"                   India's rupee hits five-year high
0  India's rupee has hit a five-year high after S...
1  The rupee climbed to 43.305 per US dollar on T...
2  ""The upgrade is positive and basically people ...",business,018.txt-business
18,019.txt,"                     India widens access to telecoms
0  India has raised the limit for foreign direct ...
1  Communications Minister Dayanidhi Maran said t...
2  Analysts and investors have welcomed the gover...",business,019.txt-business
19,020.txt,"                   Call centre users 'lose patience'
0  Customers trying to get through to call centre...
1  Once past the welcome message, callers on aver...
2  The surge in customers trying to get through t...
3  In what Dimension Data calls an ""alarming deve...
4  Suggestions that ""outsourcing"" - relocating ca...
5  There are ""no big differences in wait time and...
6  - call centre operations are part of their bus...
7  - they are worried about the risk of going abr...
8  - they fear that they will damage their brand ...",business,020.txt-business
20,021.txt,"                    Rank 'set to sell off film unit'
0  Leisure group Rank could unveil plans to demer...
1  Rank, formerly famous for the Carry On series,...
2  Rank now aims to concentrate on its gaming, ba...",business,021.txt-business
21,022.txt,"                   Sluggish economy hits German jobs
0  The number of people out of work in Europe's l...
1  German unemployment rose 7,000 in November to ...
2  With unemployment stuck above 4 million for ye...",business,022.txt-business
22,023.txt,"                   Mixed signals from French economy
0  The French economy picked up speed at the end ...
1  According to state statistics body INSEE, grow...
2  Despite the apparent shortfall in annual econo...",business,023.txt-business
23,024.txt,"                    US trade gap hits record in 2004
0  The gap between US exports and imports hit an ...
1  The Commerce Department said the trade deficit...
2  Democrats claim the administration has not don...
3  Meanwhile, the Bush administration argues that...",business,024.txt-business
24,025.txt,"                    Yukos loses US bankruptcy battle
0  A judge has dismissed an attempt by Russian oi...
1  Yukos filed for Chapter 11 protection in Houst...
2  Mr Khodorkovsky - who has been in jail for mor...
3  Yugansk was auctioned to help pay off $27.5bn ...
4  Texas Judge Letitia Clark said Yukos did not h...
5  In her ruling, the judge acknowledged that ""it...
6  Yukos said it would consider its options in li...",business,025.txt-business
25,026.txt,"                     Safety alert as GM recalls cars
0  The world's biggest carmaker General Motors (G...
1  The National Highway Traffic Safety Administra...
2  The NHTSA said a pressure accumulator in the b...",business,026.txt-business
26,027.txt,"                     Steel firm 'to cut' 45,000 jobs
0  Mittal Steel, one of the world's largest steel...
1  The Netherlands-based company is due to comple...
2  Mr Mittal told US investors that once the acqu...
3  Mittal Steel was formed last year when Mr Mitt...
4  A Mittal Steel spokeman said that no decisions...",business,027.txt-business
27,028.txt,"                    Strong demand triggers oil rally
0  Crude oil prices surged back above the $47 a b...
1  The International Energy Agency (IEA) warned d...
2  The Paris-based IEA watchdog, which advises in...",business,028.txt-business
28,029.txt,"                   UK firm faces Venezuelan land row
0  Venezuelan authorities have said they will sei...
1  Officials in Cojedes state said on Friday that...
2  The firm, whose Agroflora subsidiary operates ...
3  Officials claim that Agroflora does not posses...
4  Controversial reforms passed in 2001 give the ...
5  Critics say the powers - which President Chave...
6  Last month, the government said it had identif...",business,029.txt-business
29,030.txt,"                    Soaring oil 'hits world economy'
0  The soaring cost of oil has hit global economi...
1  In its latest bi-annual report, the OECD cut i...
2  Forecasts for Japanese growth were also scaled...
3  A dip in oil prices and improving jobs prospec...",business,030.txt-business
30,031.txt,"                   Irish markets reach all-time high
0  Irish shares have risen to a record high, with...
1  The ISEQ index of leading shares closed up 23 ...
2  Several of Ireland's biggest companies saw the...
3  Telecoms firm Eircom, which recently revealed ...
4  Bernard McAlinden, head of equity research at ...",business,031.txt-business
31,032.txt,"                   Japanese banking battle at an end
0  Japan's Sumitomo Mitsui Financial has withdraw...
1  Sumitomo bosses told counterparts at UFJ of it...
2  UFJ Holdings, Japan's fourth-largest bank, has...
3  However, UFJ's management was known to prefer ...
4  Mitsubishi's takeover of UFJ - which will be J...",business,032.txt-business
32,033.txt,"                   Rich grab half Colombia poor fund
0  Half of the money put aside by the Colombian g...
1  A total of 24.2 trillion pesos ($10.2bn; £5.5b...
2  Colombia has a population of about 44 million ...",business,033.txt-business
33,034.txt,"                    Rover deal 'may cost 2,000 jobs'
0  Some 2,000 jobs at MG Rover's Midlands plant m...
1  Shanghai Automotive Industry Corp plans to shi...
2  Rover bosses have said they are ""confident"" th...
3  Transport & General Worker's Union general sec...",business,034.txt-business
34,035.txt,"                     Ad firm WPP's profits surge 15%
0  UK advertising giant WPP has posted larger-tha...
1  Pre-tax profits rose 15% from a year ago to re...
2  Chief Executive Martin Sorrell on Friday told ...",business,035.txt-business
35,036.txt,"                   US gives foreign firms extra time
0  Foreign firms have been given an extra year to...
1  The Securities and Exchange Commission has ext...
2  Over the past few months, delegations of Europ...",business,036.txt-business
36,037.txt,"                   Japanese mogul arrested for fraud
0  One of Japan's best-known businessmen was arre...
1  Yoshiaki Tsutsumi was once ranked as the world...
2  There was a time when Mr Tsutsumi seemed untou...
3  Mr Tsutsumi's fall from grace follows the arre...",business,037.txt-business
37,038.txt,"                   Deutsche Telekom sees mobile gain
0  German telecoms firm Deutsche Telekom saw stro...
1  Net profit came in at 1.4bn euros (£960m; $1.8...
2  A year ago, debt was more than 11bn euros high...",business,038.txt-business
38,039.txt,"                   Chinese wine tempts Italy's Illva
0  Italy's Illva Saronno has agreed to buy 33% of...
1  Changyu said in a statement to the Shenzhen st...
2  China is encouraging state-owned companies to ...",business,039.txt-business
39,040.txt,"                   Umbro profits lifted by Euro 2004
0  UK sportswear firm Umbro has posted a 222% ris...
1  Pre-tax profit for 2004 was £15.4m ($29.4m). U...
2  The firm, reporting its first annual results s...",business,040.txt-business
40,041.txt,"                     Fed chief warning on US deficit
0  Federal Reserve chairman Alan Greenspan has wa...
1  Speaking to the House Budget Committee he urge...
2  The government program faces severe financial ...
3  Meanwhile any move to narrow the deficit gap b...",business,041.txt-business
41,042.txt,"                    UK Coal plunges into deeper loss
0  Shares in UK Coal have fallen after the mining...
1  The UK's biggest coal producer blamed geologic...
2  The recent rise in coal prices has failed to b...",business,042.txt-business
42,043.txt,"                      Saudi ministry to employ women
0  Women will be employed in Saudi Arabia's forei...
1  The move comes as the conservative country inc...
2  Earlier this week, the local Arab News said La...",business,043.txt-business
43,044.txt,"                   Japan economy slides to recession
0  The Japanese economy has officially gone back ...
1  Gross domestic product fell by 0.1% in the las...
2  A previous estimate of 0.1% growth between Jul...
3  Figures released by the government's Cabinet O...
4  Ministers pointed to the fact that consumer sp...",business,044.txt-business
44,045.txt,"                     US crude prices surge above $53
0  US crude prices have soared to fresh four-mont...
1  US light sweet crude futures jumped to $53.09 ...
2  Elsewhere, a refinery in Houston was closed du...",business,045.txt-business
45,046.txt,"                    Industrial output falls in Japan
0  Japanese industrial output fell in October whi...
1  Production dropped 1.6% in October, reflecting...
2  Analysts had been forecasting a 0.1% rise in m...
3  According to figures from the Ministry of Econ...
4  Growth slowed to 0.3% in the quarter ending Se...",business,046.txt-business
46,047.txt,"                   Ryanair in $4bn Boeing plane deal
0  Budget airline Ryanair has placed an order for...
1  It also has an option for a further 70 aircraf...
2  Ryanair chairman David Bonderman said that the...
3  ""With this new order and new pricing in place,...",business,047.txt-business
47,048.txt,"                   Parmalat to return to stockmarket
0  Parmalat, the Italian dairy company which went...
1  The firm gained protection from creditors in 2...
2  As part of the re-listing on the Italian stock...
3  Several former top Parmalat executives are und...",business,048.txt-business
48,049.txt,"                    BMW cash to fuel Mini production
0  Less than four years after the new Mini was la...
1  Some 200 new jobs are to be created at the Oxf...
2  Since its launch during summer 2001, the new M...
3  Last year, almost one in six cars sold by the ...
4  The price of the car has also gone up. When it...
5  The Cowley factory, which initially seemed far...
6  There are plans to tear down old buildings and...",business,049.txt-business
49,050.txt,"                       Bad weather hits Nestle sales
0  A combination of bad weather, rising raw mater...
1  Revenue dipped 1.4% to 86.7bn Swiss francs ($7...
2  Nestle said that the strength of the Swiss fra...
3  Elsewhere, Nestle said it had enjoyed an ""exce...
4  Uncertainty remains over the future of Perrier...",business,050.txt-business
50,051.txt,"                   Fiat mulls Ferrari market listing
0  Ferrari could be listed on the stock market as...
1  It said Fiat was set to restructure its busine...
2  Under the proposals - which the paper said cou...
3  Fiat, Italy's largest private sector employer,...",business,051.txt-business
51,052.txt,"                   Italy to get economic action plan
0  Italian Prime Minister Silvio Berlusconi will ...
1  He will present an ""Action Plan for the Develo...
2  The government has been accused of underfundin...
3  The government says that it has set about tack...
4  Mr Berlusconi has previously promised to cut t...
5  The country has been one of the eurozone's wor...",business,052.txt-business
52,053.txt,"                            Weak dollar hits Reuters
0  Revenues at media group Reuters slipped 11% du...
1  The company said it was optimistic about growt...
2  Reuters also managed to slow a decline in unde...",business,053.txt-business
53,054.txt,"                    Hyundai to build new India plant
0  South Korea's Hyundai Motor has announced that...
1  The company didn't give details of its investm...
2  South Korea's top car maker estimates that the...",business,054.txt-business
54,055.txt,"                    SA unveils 'more for all' budget
0  The South African government has put tax cuts ...
1  Aiming to both stir economic growth and aid th...
2  Unveiling the 418bn-rand budget to parliament,...
3  He predicted that the South African economy wo...
4  ""In this budget, the focus is on more for all,...",business,055.txt-business
55,056.txt,"                     BMW drives record sales in Asia
0  BMW has forecast sales growth of at least 10% ...
1  The luxury carmaker saw strong sales of its th...
2  BMW sold nearly 95,000 cars in Asia last year,...
3  BMW-brand sales rose 2.3% to 80,600 while sale...
4  China remains the main area of concern for BMW...",business,056.txt-business
56,057.txt,"                    Economy 'stronger than forecast'
0  The UK economy probably grew at a faster rate ...
1  Private sector business surveys suggest a stro...
2  The ONS is due to publish its second estimate ...
3  ""The statistical fog surrounding the true stat...
4  A slowdown in the housing market and this year...",business,057.txt-business
57,058.txt,"                    Electrolux to export Europe jobs
0  Electrolux saw its shares rise 14% on Tuesday ...
1  The Swedish firm, the world's largest maker of...
2  Electrolux's subsidiary brands include AEG, Za...",business,058.txt-business
58,059.txt,"                   Worldcom ex-boss launches defence
0  Lawyers defending former WorldCom chief Bernie...
1  Cynthia Cooper, WorldCom's ex-head of internal...
2  Prosecution lawyers have argued that Mr Ebbers...
3  Ms Cooper also said that during shareholder me...",business,059.txt-business
59,060.txt,"                       Insurance bosses plead guilty
0  Another three US insurance executives have ple...
1  Two executives from American International Gro...
2  He admitted one felony count of scheming to de...",business,060.txt-business
60,061.txt,"                    Further rise in UK jobless total
0  The UK's jobless total rose for the second mon...
1  The number of people out of work rose 32,000 t...
2  The apparent discrepancy between rising unempl...",business,061.txt-business
61,062.txt,"                    Wembley firm won't make a profit
0  Shares in Multiplex Group, which is building t...
1  The Australian firm said it would only break e...
2  Investors were shaken by the news and the firm...
3  The firm said the result was below expectation...
4  To recoup any profit from Wembley, where the f...",business,062.txt-business
62,063.txt,"                    Cars pull down US retail figures
0  US retail sales fell 0.3% in January, the bigg...
1  The 3.3% fall in car sales had been expected, ...
2  Steve Gallagher, US chief economist at SG Corp...
3  ""We are not seeing the numbers that we saw in ...
4  Sales at restaurants, bars and coffee houses r...",business,063.txt-business
63,064.txt,"                   Lufthansa may sue over Bush visit
0  German airline Lufthansa may sue federal agenc...
1  Lufthansa said that it may lose millions of eu...
2  ""We are doing research into the possibilities ...
3  Central to the problem was that instead of hal...",business,064.txt-business
64,065.txt,"                   EU aiming to fuel development aid
0  European Union finance ministers meet on Thurs...
1  The policy makers are to ask for a report into...
2  Profits have been under pressure in the airlin...
3  Things have picked up, but some European and U...
4  The EU sought to allay the airlines' fears, st...",business,065.txt-business
65,066.txt,"                   German business confidence slides
0  German business confidence fell in February kn...
1  Munich-based research institute Ifo said that ...
2  ""We're surprised that the Ifo index has taken ...
3  Germany's economy grew 1.6% last year after sh...",business,066.txt-business
66,067.txt,"                    FAO warns on impact of subsidies
0  Billions of farmers' livelihoods are at risk f...
1  Trade barriers and subsidies ""severely"" distor...
2  The FAO has urged the World Trade Organisation...
3  According to the organisation, subsidies and h...",business,067.txt-business
67,068.txt,"                   India seeks to boost construction
0  India has cleared a proposal allowing up to 10...
1  Kamal Nath, Commerce and Industry Minister, an...
2  A spokesman for DLF Builders, Dr Vancheshwar, ...
3  The government proposal states that foreign in...
4  Mr Nath also announced plans to allow foreign ...
5  However, Chittabrata Majumdar, general secreta...",business,068.txt-business
68,069.txt,"                     Boeing unveils new 777 aircraft
0  US aircraft firm Boeing has unveiled its new l...
1  The 777-200LR will be capable of flying almost...
2  Analysts are divided over which approach is be...
3  It is banking on smaller, slimmer planes such ...
4  ""Boeing has the latest variant in a very succe...
5  For Airbus, the future is big - it is pinning ...
6  Both Boeing and Airbus have been taking orders...",business,069.txt-business
69,070.txt,"                    Circuit City gets takeover offer
0  Circuit City Stores, the second-largest electr...
1  The bid has come from Boston-based private inv...
2  ""Such a transformation would eliminate the pub...",business,070.txt-business
70,071.txt,"                    Japan turns to beer alternatives
0  Japanese brewers are increasingly making money...
1  Beer and spirits are heavily taxed in Japan, d...
2  Asahi is predicting profits to rise 50% in 200...",business,071.txt-business
71,072.txt,"                   S Korean consumers spending again
0  South Korea looks set to sustain its revival t...
1  The country's economy has suffered from an ove...",business,072.txt-business
72,073.txt,"                     German growth goes into reverse
0  Germany's economy shrank 0.2% in the last thre...
1  The figures confounded hopes of a 0.2% expansi...
2  But the relentless rise in the value of the eu...",business,073.txt-business
73,074.txt,"                   Turkey-Iran mobile deal 'at risk'
0  Turkey's investment in Iran's mobile industry ...
1  Iran's parliament voted by a large majority to...
2  Turkcell's mobile deal is the second Turkish i...",business,074.txt-business
74,075.txt,"                   EU ministers to mull jet fuel tax
0  European Union finance ministers are meeting o...
1  A levy on jet fuel has been suggested as a way...
2  Global leaders have focused attention on pover...",business,075.txt-business
75,076.txt,"                      Palestinian economy in decline
0  Despite a short-lived increase in Palestinian ...
1  Unemployment stood at 25%, compared with 10% b...
2  ""Closures are a key factor behind today's econ...",business,076.txt-business
76,077.txt,"                    China had role in Yukos split-up
0  China lent Russia $6bn (£3.2bn) to help the Ru...
1  The Kremlin said on Tuesday that the $6bn whic...
2  According to Russian newspaper Vedomosti, thes...
3  The announcements help to explain how Rosneft,...
4  The embattled Russian oil giant had previously...
5  The deal between Rosneft and CNPC is seen as p...",business,077.txt-business
77,078.txt,"                     Deadline nears for Fiat-GM deal
0  Fiat and General Motors (GM) have until midnig...
1  The deadline marks the point at which Fiat wil...
2  The 2000 deal resulted from a race between GM ...",business,078.txt-business
78,079.txt,"                    ID theft surge hits US consumers
0  Almost a quarter of a million US consumers com...
1  The Federal Trade Commission said two in five ...
2  The report marks the fifth year in a row in wh...",business,079.txt-business
79,080.txt,"                    Argentina, Venezuela in oil deal
0  Argentina and Venezuela have extended a food-f...
1  Argentine President Nestor Kirchner and Venezu...",business,080.txt-business
80,081.txt,"                    BMW to recall faulty diesel cars
0  BMW is to recall all cars equipped with a faul...
1  The faulty part does not represent a safety ri...
2  Bosch has stopped production of the part but e...",business,081.txt-business
81,082.txt,"                   Takeover rumour lifts Exel shares
0  Shares in storage and delivery firm Exel close...
1  The talk in the City is that US giant United P...
2  Exel employs 109,000 people in more than 120 c...",business,082.txt-business
82,083.txt,"                     Yukos accused of lying to court
0  Russian oil firm Yukos lied to a US court in a...
1  The unit, Yugansk, was sold to pay off a $27.5...
2  Deutsche Bank's evidence came on the first day...
3  Yukos chief financial officer Bruce Misamore, ...
4  Deutsche Bank is involved in the case because ...
5  Yukos maintains that it filed for bankruptcy i...",business,083.txt-business
83,084.txt,"                       Mexican in US send $16bn home
0  Mexican labourers living in the US sent a reco...
1  The Bank of Mexico said that remittances grew ...
2  The growth in remittances has sparked fierce c...",business,084.txt-business
84,085.txt,"                    Home loan approvals rising again
0  The number of mortgages approved in the UK has...
1  New loans in December rose to 83,000, slightly...
2  Analysts say the figures show the market may b...",business,085.txt-business
85,086.txt,"                    Manufacturing recovery 'slowing'
0  UK manufacturing grew at its slowest pace in o...
1  The Chartered Institute of Purchasing and Supp...
2  The survey added that rising input prices and ...",business,086.txt-business
86,087.txt,"                    Worldcom boss 'left books alone'
0  Former Worldcom boss Bernie Ebbers, who is acc...
1  David Myers made the comments under questionin...
2  On Monday, defence lawyer Reid Weingarten trie...
3  Mr Ebbers' team, meanwhile, are looking to por...",business,087.txt-business
87,088.txt,"                   Metlife buys up Citigroup insurer
0  US banking giant Citigroup has sold its Travel...
1  The sale is a further move by Citigroup away f...
2  Robert Benmosche, Metlife's chairman and chief...",business,088.txt-business
88,089.txt,"                   Europe blames US over weak dollar
0  European leaders have openly blamed the US for...
1  US officials were talking up the dollar, they ...
2  But analysts said the respite was likely to be...
3  Still, by the standards of diplomacy the Europ...
4            But that was not enough for Mr Sarkozy.
5  ""If the Americans were to change their policy,...",business,089.txt-business
89,090.txt,"                    French wine gets 70m euro top-up
0  The French government is to hand its strugglin...
1  The financial package is aimed at assisting vi...
2  The bulk of the money - about 40m euros - will...
3  Domestic consumption, accounting for 70% of sa...
4  The aid package would ""create a positive clima...",business,090.txt-business
90,091.txt,"                     Russia gets investment blessing
0  Soaring oil sales and a budget surplus mean Ru...
1  Standard & Poor's has classed Russian bonds as...
2  The other two major ratings agencies - Fitch a...
3  The Yukos saga is the most high-profile of the...",business,091.txt-business
91,092.txt,"                    Iranian MPs threaten mobile deal
0  Turkey's biggest private mobile firm could bai...
1  Conservatives in parliament say Turkcell's sta...
2  Iran currently has only one heavily congested ...
3  Turkcell said the ruling would ""make more diff...",business,092.txt-business
92,093.txt,"                 Argentina closes $102.6bn debt swap
0  Argentina is set to close its $102.6bn (£53.51...
1  The estimated loss to bondholders is up to 70%...",business,093.txt-business
93,094.txt,"                   US economy shows solid GDP growth
0  The US economy has grown more than expected, e...
1  The gross domestic product figure was ahead of...
2  The new GDP figure, announced by the Commerce ...",business,094.txt-business
94,095.txt,"                   Profits slide at India's Dr Reddy
0  Profits at Indian drugmaker Dr Reddy's fell 93...
1  The firm said its profits were 40m rupees ($91...
2  Sales in Dr Reddy's generics business fell 8.6...",business,095.txt-business
95,096.txt,"                   Burren awarded Egyptian contracts
0  British energy firm Burren Energy has been awa...
1  The company successfully bid for the two contr...",business,096.txt-business
96,097.txt,"                    'Strong dollar' call halts slide
0  The US dollar's slide against the euro and yen...
1  But analysts said any gains are likely to be s...
2  Policy makers in Europe have called the dollar...
3  ""Our basic policy, of course, is to let open, ...",business,097.txt-business
97,098.txt,"                   IMF 'cuts' German growth estimate
0  The International Monetary Fund is to cut its ...
1  The IMF will also reduce its growth estimate f...
2  The IMF's draft World Economic Outlook - due t...
3  In September, the IMF had said that German gro...",business,098.txt-business
98,099.txt,"                   GM, Ford cut output as sales fall
0  US car firms General Motors (GM) and Ford have...
1  US sales at GM sank 12.7% in February compared...
2  GM and Ford blamed high fuel prices for low sa...
3  GM added that US truck sales fell 9% in Februa...
4  But America's loss was its foreign rivals' gai...",business,099.txt-business
99,100.txt,"                        Ebbers denies WorldCom fraud
0  Former WorldCom chief Bernie Ebbers has denied...
1  Speaking in court, Mr Ebbers rejected allegati...
2  ""In a lot of weeks, we would speak ... three o...
3  Mr Ebbers relationship to Mr Sullivan is key t...",business,100.txt-business
100,101.txt,"                   Australia rates at four year high
0  Australia is raising its benchmark interest ra...
1  The Reserve Bank of Australia lifted interest ...
2  The rate hike was the first since December 200...
3  The figures, representing a decline from the 0...
4  At 2.6%, inflation remains within the Bank's 2...",business,101.txt-business
101,102.txt,"                     US company admits Benin bribery
0  A US defence and telecommunications company ha...
1  The Titan corporation was accused of funnellin...
2  The SEC had accused Titan of illegally paying ...",business,102.txt-business
102,103.txt,"                    US insurer Marsh cuts 2,500 jobs
0  Up to 2,500 jobs are to go at US insurance bro...
1  The insurer said the cuts were part of a cost-...
2  An ongoing restructuring drive at the group al...
3  Analysts expect its latest round of cuts to fo...
4  The insurer hit the headlines in October last ...",business,103.txt-business
103,104.txt,"                   US seeks new $280bn smoker ruling
0  The US Justice Department is to try to overtur...
1  Earlier this month, a three-judge appeal court...
2  Prosecutors had argued that tobacco firms lied...
3  Central to the government's case was a meeting...",business,104.txt-business
104,105.txt,"                       Budget Aston takes on Porsche
0  British car maker Aston Martin has gone head-t...
1  With a price tag under £80,000, the V8 Vantage...
2  First shown as a concept car at the 2003 North...",business,105.txt-business
105,106.txt,"                   Golden rule 'intact' says ex-aide
0  Chancellor Gordon Brown will meet his golden e...
1  Formerly one of Mr Brown's closest Treasury ai...
2  Mr Balls rejected the allegation that Mr Brown...",business,106.txt-business
106,107.txt,"                     Liberian economy starts to grow
0  The Liberian economy started to grow in 2004, ...
1  An IMF mission made the comments in a report p...
2  The IMF said Liberia's economy started to grow...",business,107.txt-business
107,108.txt,"                     Slowdown hits US factory growth
0  US industrial production increased for the 21s...
1  The Institute for Supply Management (ISM) inde...
2  ""While the overall rate of growth is slowing, ...",business,108.txt-business
108,109.txt,"                      Lufthansa flies back to profit
0  German airline Lufthansa has returned to profi...
1  In a preliminary report, the airline announced...",business,109.txt-business
109,110.txt,"                    Japanese growth grinds to a halt
0  Growth in Japan evaporated in the three months...
1  Output in the period grew just 0.1%, an annual...
2  The economy had stagnated throughout the 1990s...
3  The effect was to leave the economy more depen...
4  The performance for the third quarter marks a ...",business,110.txt-business
110,111.txt,"                   Unilever shake up as profit slips
0  Anglo-Dutch consumer goods giant Unilever is t...
1  It blamed the poor results on sluggish decisio...
2  Under the restructuring plans, Patrick Cescau,...
3  ""We have recognised the need for greater clari...
4  The company said the organizational changes wo...
5  The company said its main focus will be on imp...
6  Unilever said European sales fell 2.8% last ye...
7  Sales of ice cream and frozen food dipped by 3...",business,111.txt-business
111,112.txt,"                    France Telecom gets Orange boost
0  Strong growth in subscriptions to mobile phone...
1  Orange added more than five million new custom...
2  France Telecom, one of the world's largest tel...
3  Orange enjoyed strong growth outside France an...
4  Looking ahead, the company forecast like-for-l...",business,112.txt-business
112,113.txt,"                   Brussels raps mobile call charges
0  The European Commission has written to the mob...
1  In letters sent to the two companies, the Comm...
2  The Commission's investigation into Vodafone a...
3  The Commission believes these wholesale prices...
4  The companies will have three months to respon...",business,113.txt-business
113,114.txt,"                      WorldCom director admits lying
0  The former chief financial officer at US telec...
1  Speaking at the trial of his former boss Berna...
2  In the New York court on Wednesday, Mr Ebbers'...
3  ""On that date, yes. I was lying,"" replied Mr S...
4  Under 23 hours of questioning from a federal p...",business,114.txt-business
114,115.txt,"                   Glaxo aims high after profit fall
0  GlaxoSmithKline saw its profits fall 9% last y...
1  Cheap copies of its drugs, particularly anti-d...
2  In early afternoon trade in London the company...",business,115.txt-business
115,116.txt,"                   Japan bank shares up on link talk
0  Shares of Sumitomo Mitsui Financial (SMFG), an...
1  Financial newspaper Nihon Keizai Shimbun claim...
2  Combining SMFG, Japan's third-biggest lender, ...",business,116.txt-business
116,117.txt,"                     Car giant hit by Mercedes slump
0  A slump in profitability at luxury car maker M...
1  The German-US carmaker saw fourth quarter oper...
2  Mercedes' profits over the period compared unf...
3  The carmaker blamed the fall in profits on hig...
4  In contrast, Chrysler enjoyed a 5% annual incr...
5  Overall, DaimlerChrysler saw worldwide vehicle...
6  ""The year 2004 shows that our strategy works w...",business,117.txt-business
117,118.txt,"                      Ericsson sees earnings improve
0  Telecoms equipment supplier Ericsson has poste...
1  Operating profit in the three months to 31 Dec...
2  Chief executive Carl-Henric Svanberg explained...",business,118.txt-business
118,119.txt,"                    Bank opts to leave rates on hold
0  The Bank of England has left interest rates on...
1  The Bank's Monetary Policy Committee (MPC) dec...
2  Slower consumer spending and a quieter housing...
3  And recent house surveys from the Halifax and ...
4  Business groups welcomed the MPC's widely-expe...",business,119.txt-business
119,120.txt,"                   Nigeria to boost cocoa production
0  The government of Nigeria is hoping to triple ...
1  Agriculture Minister Adamu Bello said the sche...
2  Cocoa was the main export product in Nigeria d...
3  At the same time as Nigeria announced its new ...",business,120.txt-business
120,121.txt,"                   US interest rates increased to 2%
0  US interest rates are to rise for the fourth t...
1  The Federal Reserve has raised its key federal...
2  The Fed's Open Market Committee - which sets i...
3  The Central Bank has been acting to restrain i...
4  Recent evidence has pointed to an upturn in th...
5  ""Let's wait until we see how growth and employ...
6  ""I think the Federal Reserve does not want to ...",business,121.txt-business
